Rank,name,pop2019,pop2018,GrowthRate,area,Density
1,China,1433783686,1427647786,1.0043,9706961,147.7068
2,India,1366417754,1352642280,1.0102,3287590,415.629
3,United States,329064917,327096265,1.006,9372610,35.1092
4,Indonesia,270625568,267670543,1.011,1904569,142.0928
5,Pakistan,216565318,212228286,1.0204,881912,245.5634
6,Brazil,211049527,209469323,1.0075,8515767,24.7834
7,Nigeria,200963599,195874683,1.026,923768,217.5477
8,Bangladesh,163046161,161376708,1.0103,147570,1104.8734
9,Russia,145872256,145734038,1.0009,17098242,8.5314
10,Mexico,127575529,126190788,1.011,1964375,64.9446
11,Japan,126860301,127202192,0.9973,377930,335.6714
12,Ethiopia,112078730,109224414,1.0261,1104300,101.493
13,Philippines,108116615,106651394,1.0137,342353,315.8045
14,Egypt,100388073,98423598,1.02,1002450,100.1427
15,Vietnam,96462106,95545962,1.0096,331212,291.2398
16,DR Congo,86790567,84068091,1.0324,2344858,37.0131
17,Germany,83517045,83124418,1.0047,357114,233.8666
18,Turkey,83429615,82340088,1.0132,783562,106.4748
19,Iran,82913906,81800188,1.0136,1648195,50.3059
20,Thailand,69625582,69428453,1.0028,513120,135.6906
21,United Kingdom,67530172,67141684,1.0058,242900,278.0164
22,France,65129728,64990511,1.0021,551695,118.0539
23,Italy,60550075,60627291,0.9987,301336,200.9387
24,South Africa,58558270,57792518,1.0133,1221037,47.9578
25,Tanzania,58005463,56313438,1.03,945087,61.3758
26,Myanmar,54045420,53708320,1.0063,676578,79.8805
27,Kenya,52573973,51392565,1.023,580367,90.5875
28,South Korea,51225308,51171706,1.001,100210,511.1796
29,Colombia,50339443,49661048,1.0137,1141748,44.0898
30,Spain,46736776,46692858,1.0009,505992,92.3666
31,Argentina,44780677,44361150,1.0095,2780400,16.1058
32,Uganda,44269594,42729036,1.0361,241550,183.273
33,Ukraine,43993638,44246156,0.9943,603500,72.8975
34,Algeria,43053054,42228408,1.0195,2381741,18.0763
35,Sudan,42813238,41801533,1.0242,1886068,22.6997
36,Iraq,39309783,38433600,1.0228,438317,89.6835
37,Afghanistan,38041754,37171921,1.0234,652230,58.3257
38,Poland,37887768,37921592,0.9991,312679,121.1715
39,Canada,37411047,37074562,1.0091,9984670,3.7468
40,Morocco,36471769,36029093,1.0123,446550,81.6745
41,Saudi Arabia,34268528,33702756,1.0168,2149690,15.9411
42,Uzbekistan,32981716,32476244,1.0156,447400,73.7186
43,Peru,32510453,31989260,1.0163,1285216,25.2957
44,Malaysia,31949777,31528033,1.0134,330803,96.5825
45,Angola,31825295,30809787,1.033,1246700,25.5276
46,Ghana,30417856,29767102,1.0219,238533,127.5205
47,Mozambique,30366036,29496004,1.0295,801590,37.8823
48,Yemen,29161922,28498683,1.0233,527968,55.2343
49,Nepal,28608710,28095714,1.0183,147181,194.3777
50,Venezuela,28515829,28887118,0.9871,916445,31.1157
51,Madagascar,26969307,26262313,1.0269,587041,45.9411
52,Cameroon,25876380,25216267,1.0262,475442,54.4259
53,Ivory Coast,25716544,25069230,1.0258,322463,79.7504
54,North Korea,25666161,25549604,1.0046,120538,212.93
55,Australia,25203198,24898152,1.0123,7692024,3.2765
56,Taiwan,23773876,23726460,1.002,36193,656.8639
57,Niger,23310715,22442822,1.0387,1267000,18.3984
58,Sri Lanka,21323733,21228763,1.0045,65610,325.0074
59,Burkina Faso,20321378,19751466,1.0289,272967,74.4463
60,Mali,19658031,19077749,1.0304,1240192,15.8508
61,Romania,19364557,19506114,0.9927,238391,81.2302
62,Chile,18952038,18729160,1.0119,756102,25.0655
63,Malawi,18628747,18143217,1.0268,118484,157.2258
64,Kazakhstan,18551427,18319618,1.0127,2724900,6.8081
65,Zambia,17861030,17351708,1.0294,752612,23.7321
66,Guatemala,17581472,17247849,1.0193,108889,161.4623
67,Ecuador,17373662,17084358,1.0169,276841,62.7568
68,Netherlands,17097130,17059560,1.0022,41850,408.5336
69,Syria,17070135,16945057,1.0074,185180,92.1813
70,Cambodia,16486542,16249792,1.0146,181035,91.0683
71,Senegal,16296364,15854323,1.0279,196722,82.8396
72,Chad,15946876,15477729,1.0303,1284000,12.4197
73,Somalia,15442905,15008226,1.029,637657,24.2182
74,Zimbabwe,14645468,14438802,1.0143,390757,37.4797
75,Guinea,12771246,12414293,1.0288,245857,51.9458
76,Rwanda,12626950,12301970,1.0264,26338,479.4195
77,Benin,11801151,11485044,1.0275,112622,104.7855
78,Tunisia,11694719,11565201,1.0112,163610,71.4792
79,Belgium,11539328,11482178,1.005,30528,377.9916
80,Burundi,11530580,11175374,1.0318,27834,414.2624
81,Bolivia,11513100,11353142,1.0141,1098581,10.48
82,Cuba,11333483,11338134,0.9996,109884,103.1404
83,Haiti,11263077,11123178,1.0126,27750,405.8766
84,South Sudan,11062113,10975927,1.0079,619745,17.8495
85,Dominican Republic,10738958,10627141,1.0105,48671,220.6439
86,Czech Republic,10689209,10665677,1.0022,78865,135.5381
87,Greece,10473455,10522246,0.9954,131990,79.3504
88,Portugal,10226187,10256193,0.9971,92090,111.0456
89,Jordan,10101694,9965318,1.0137,89342,113.0677
90,Azerbaijan,10047718,9949537,1.0099,86600,116.0245
91,Sweden,10036379,9971638,1.0065,450295,22.2885
92,United Arab Emirates,9770529,9630959,1.0145,83600,116.8724
93,Honduras,9746117,9587522,1.0165,112492,86.6383
94,Hungary,9684679,9707499,0.9976,93028,104.105
95,Belarus,9452411,9452617,1,207600,45.5318
96,Tajikistan,9321018,9100835,1.0242,143100,65.1364
97,Austria,8955102,8891388,1.0072,83871,106.7723
98,Papua New Guinea,8776109,8606323,1.0197,462840,18.9614
99,Serbia,8772235,8802754,0.9965,88361,99.2772
100,Switzerland,8591365,8525611,1.0077,41284,208.104
101,Israel,8519377,8381516,1.0164,20770,410.177
102,Togo,8082366,7889093,1.0245,56785,142.3328
103,Sierra Leone,7813215,7650150,1.0213,71740,108.9102
104,Hong Kong,7436154,7371730,1.0087,1104,6735.6467
105,Laos,7169455,7061507,1.0153,236800,30.2764
106,Paraguay,7044636,6956066,1.0127,406752,17.3192
107,Bulgaria,7000119,7051608,0.9927,110879,63.133
108,Lebanon,6855713,6859408,0.9995,10452,655.9236
109,Libya,6777452,6678559,1.0148,1759540,3.8518
110,Nicaragua,6545502,6465501,1.0124,130373,50.206
111,El Salvador,6453553,6420746,1.0051,21041,306.7132
112,Kyrgyzstan,6415850,6304030,1.0177,199951,32.0871
113,Turkmenistan,5942089,5850901,1.0156,488100,12.1739
114,Singapore,5804337,5757499,1.0081,710,8175.1225
115,Denmark,5771876,5752126,1.0034,43094,133.9369
116,Finland,5532156,5522576,1.0017,338424,16.3468
117,Slovakia,5457013,5453014,1.0007,49037,111.2836
118,Republic of the Congo,5380508,5244359,1.026,342000,15.7325
119,Norway,5378857,5337962,1.0077,323802,16.6116
120,Costa Rica,5047561,4999441,1.0096,51100,98.7781
121,Palestine,4981420,4862979,1.0244,6220,800.8714
122,Oman,4974986,4829473,1.0301,309500,16.0743
123,Liberia,4937374,4818973,1.0246,111369,44.3335
124,Ireland,4882495,4818690,1.0132,70273,69.479
